code;name;Код зони за ДБН головний;Код зони за ДСТУ головний;Код зони за ДБН другорядний;Код зони за ДСТУ другорядний;Код землі основний;Код основний;Код землі другорядний;Код другорядний
1110.1;Будинки одноквартирні масової забудови;Ж-1;Ж-1;"С-2;Г-2;Г-4;Г-4-4;ТР-1;ТР-1-1;ТР-1-2;Р-1;Р-1-1";"С-4;Г-3;ТР-1;ТР-2;Р-1;ПЗФ";"02.01;02.02";"1.8;1.9";"03.04;03.06;09.01;09.02;12.01;15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.6;1.12.8;1.19;5.1;1.14;1.14.1;3.2;3.2.1;1.12.2;3.3"
1110.2;Котеджі та будинки одноквартирні підвищеної комфортності;Ж-1;Ж-1;"С-2;Г-2;Г-4;Г-4-4;ТР-1;ТР-1-1;ТР-1-2;Р-1;Р-1-1";"С-4;Г-3;ТР-1;ТР-2;Р-1;ПЗФ";"02.01;02.02";"1.8;1.9";"03.04;03.06;09.01;09.02;12.01;15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.6;1.12.8;1.19;5.1;1.14;1.14.1;3.2;3.2.1;1.12.2;3.3"
1110.3;Будинки садибного типу;Ж-1;Ж-1;С-2;С-4;"02.01;02.02";"1.8;1.9";"03.06;15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.8;1.12.2;3.3"
1110.4;Будинки дачні та садові;Р-4;Р-4;;;"01.05;01.06;07.03;07.04";"1.2;2.2;1.8;1.9";;
1121.1;Будинки двоквартирні масової забудови;Ж-1;Ж-1;"С-2;Г-2;Г-4;Г-4-4;ТР-1;ТР-1-1;ТР-1-2;Р-1;Р-1-1";"С-4;Г-3;ТР-1;ТР-2;Р-1;ПЗФ";02.02;1.9;"03.04;03.06;09.01;09.02;12.01;15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.6;1.12.8;1.19;5.1;1.14;1.14.1;3.2;3.2.1;1.12.2;3.3"
1121.2;Котеджі та будинки двоквартирні підвищеної комфортності;Ж-1;Ж-1;"С-2;Г-2;Г-4;Г-4-4;ТР-1;ТР-1-1;ТР-1-2;Р-1;Р-1-1";"С-4;Г-3;ТР-1;ТР-2;Р-1;ПЗФ";02.02;1.9;"03.04;03.06;09.01;09.02;12.01;15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.6;1.12.8;1.19;5.1;1.14;1.14.1;3.2;3.2.1;1.12.2;3.3"
1122.1;Будинки багатоквартирні масової забудови;"Ж-3;Ж-3-1;Ж- 3-2;Ж-4;Ж- 4-1;Ж-4-2;Ж-4-3;Ж-5;Ж-5-1;Ж- 5-2;Ж-5-3;Ж-5-4;Ж-6;Ж-6-1;Ж-6-2;Ж-7";"Ж-3;Ж-4";"Ж-2;С-2";"Ж-2;С-4";"02.03;02.10";"1.9;1.13.2;1.13.3";"15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.2;3.3"
1122.2;Будинки багатоквартирні підвищеної комфортності, індивідуальні;"Ж-3;Ж-3-1;Ж- 3-2;Ж-4;Ж- 4-1;Ж-4-2;Ж-4-3;Ж-5;Ж-5-1;Ж- 5-2;Ж-5-3;Ж-5-4;Ж-6;Ж-6-1;Ж-6-2;Ж-7";"Ж-3;Ж-4";"Ж-2;Г-1;Г-2;С-2";"Ж-2;С-4";"02.03;02.10";"1.9;1.13.2;1.13.3";"03.06;15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.8;1.12.2;3.3"
1122.3;Будинки житлові готельного типу;"Ж-3;Ж-3-1;Ж- 3-2;Ж-4;Ж- 4-1;Ж-4-2;Ж-4-3;Ж-5;Ж-5-1;Ж- 5-2;Ж-5-3;Ж-5-4;Ж-6;Ж-6-1;Ж-6-2;Ж-7";"Ж-3;Ж-4";"С-2;Г-2;Г-4;Г-4-4";"С-4;Г-3";"02.03;02.10";"1.9;1.13.2;1.13.3";"03.04;03.06;15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.6;1.12.8;1.12.2;3.3"
1130.1;Гуртожитки для робітників та службовців;"Ж-3;Ж-3-1;Ж- 3-2;Ж-4;Ж- 4-1;Ж-4-2;Ж-4-3;Ж-5;Ж-5-1;Ж- 5-2;Ж-5-3;Ж-5-4;Ж-6;Ж-6-1;Ж-6-2;Ж-7";"Ж-3;Ж-4";"Г-2;Г-3;Г-4;Г-4-4;Г-5;Г-5-1;Г-5-2;Г-5-3;С-2";"Г-2;Г-3;Г-4;С-4";02.04;1.9;"03.01;03.02;03.03;03.04;03.06;03.11;15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.08;15.09;15.10";"1.12.1;1.12.3;1.12.5;1.12.6;1.12.8;1.11.5;1.12.2;3.3"
