code;name;main;secondary
10000;Сельбищні території;;
10100.0;території житлової забудови;"02.01;02.03;02.04;02.10;08.01";"02.05;02.06;02.09;02.12;03.02;03.03;03.05;04.10;05.01;07.02;07.03;07.04;07.08;12.13;03.06 (в частині резиденцій);03.07;03.08;03.12;03.13;03.14 (в частині об’єктів, які не потребують встановлення санітарних обмежень на прилеглі території);13.02 (в частині поштових відділень);11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж)"
10101.0;території житлової багатоквартирної забудови;"02.03;02.04;02.10;08.01";"02.06;02.09;02.12;03.02;03.03;03.05;04.10;05.01;07.02;07.08;03.06 (в частині резиденцій);03.07;03.08;03.12;03.13;03.14 (в частині об’єктів, які не потребують встановлення санітарних обмежень на прилеглі території);11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж) "
10102.0;території житлової садибної забудови;"02.01;08.01";"02.05;02.06;02.09;02.12;03.02;03.03;03.05;04.10;05.01;07.02;07.08;03.06 (в частині резиденцій);03.07;03.08;03.12;03.13;03.14 (в частині об’єктів, які не потребують встановлення санітарних обмежень на прилеглі території);13.02 (в частині поштових відділень);11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж) "
10103.0;території дачної забудови;"07.03;07.04;08.01";"04.10;05.01;07.02;03.07;03.08;03.14 (в частині об’єктів, які не потребують встановлення санітарних обмежень на прилеглі території);13.02 (в частині поштових відділень);11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж) "
10200.0;території громадської забудови;"03.01;03.02;03.03;03.05;03.06;03.10;03.11;03.14;04.01;04.02;04.03;04.04;04.05;04.06;04.07;04.11;08.01";"03.08;03.09;03.18;03.20;12.13;04.10;05.01;07.02;07.08;08.02;13.02 (в частині поштових відділень);03.07;03.12;03.13 (в частині об’єктів, які не потребують встановлення санітарних обмежень на прилеглі території);11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж) "
10201.0;території адміністративно-офісної забудови;"03.01;03.06;03.09;03.10;03.11;03.14;03.18;04.01;04.02;04.03;04.04;04.05;04.06;04.07;04.11;08.01;13.02 (в частині поштових відділень);13.05;15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.09;15.10;15.11";"03.04;03.05;03.08;03.18;03.20;04.10;05.01;07.02;07.08;08.02;03.07;03.12;03.13 (в частині об’єктів, які не потребують встановлення санітарних обмежень на прилеглі території);11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж) "
10201.1;території адміністративно-управлінських закладів;"03.01;03.06;03.14;03.18;04.01;04.02;04.03;04.04;04.05;04.06;04.07;04.11;08.01;13.05;15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.09;15.10;15.11";"03.05;03.08;03.09;03.20;04.10;05.01;07.02;07.08;08.02;03.07;03.12;03.13 (в частині об’єктів, які не потребують встановлення санітарних обмежень на прилеглі території);13.02 (в частині поштових відділень);11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж) "
10201.2;території науково-дослідних, проектних та вишукувальних закладів;"01.09;03.11;04.01;04.02;04.03;04.04;04.05;04.06;04.07;04.11;08.01;10.09";"02.04;03.05;03.08;03.10;03.20;04.10;05.01;07.08;03.07;03.12;03.13;03.14 (в частині об’єктів, які не потребують встановлення санітарних обмежень на прилеглі території);11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж) "
10201.3;території фінансових установ та офісної забудови;"03.09;03.10;08.01";"03.01;03.04;03.05;03.06;03.08;03.11;03.20;04.10;05.01;07.02;07.08;08.02;15.01;15.02;15.03;15.04;15.05;15.06;15.07;15.09;15.10;15.11;03.07;03.12;03.13;03.14 (в частині об’єктів, які не потребують встановлення санітарних обмежень на прилеглі території);13.02 (в частині поштових відділень);11.04;13.01;13.03;14.02 (в частині розміщення об’єктів розподільчих мереж) "
